Nome,Endereço,Número,Complemento,Bairro,Cidade,Estado,latitude,longitude,Preço,Atende,Telefone 1,Telefone 2,site,email
Alcoólicos Anônimos,Av. Vicente Machado,738,,Batel,Curitiba,PR,-25.435543,-49.283949,Grátis,Álcool,,,,
Narcóticos Anônimos,R. Bento Viana,1200,Sala 414,Água Verde,Curitiba,PR,-25.438140,-49.277290,Grátis,Drogas,(41) 99777-0209,,https://www.na.org.br/,
UFPR,Rua XV de Novembro,1299,1° andar sala 112,Centro,Curitiba,PR,-25.426763,-49.261884,Grátis,Psicólogo,,,,
UniBrasil - Clinica Integrada da Saúde,Av. Victor Ferreira do Amaral,2446,,Capão da Imbuia,Curitiba,PR,-25.430001,-49.215434,10,Psicólogo,(41) 3267-9108,,,
AGATEF – Associação Gaúcha de Terapia Familiar,Av. Cristovão Colombo,,,Floresta,Porto Alegre,RS,-30.018251,-51.203053,Grátis ,Terapia,(51) 99615-0851,,,
Amparo – Associação Paulista de Terapia Familiar,R. Aureliano Guimarães ,,,Vila andrade ,São Paulo,SP,-23.628197,-46.737638,,Terapia,,,https://www.aptf.org.br/amparo,
Associação Brasileira de EMDR,,,,sumárezinho,São Paulo,SP,-23.553455,-46.690895,Grátis,Terapia ,,,http://bit.ly/rodaaprtf,
APRTF – Associação Paranaense de Terapia Familiar,"Rua Myltho Anselmo da Silva,",1152,1300,Mercês,Curitiba ,PR,-25.419205,-49.287433,Gratis,Terapia ,,,,
CCVP – Complexo Comunitário Vida Plena,Rua Dr. Arthur Gonzales,187,,,Salvador ,BA,-12.922352,38.445372,Gratis ,,(71) 3213-7836,,complexocvidaplena@yahoo.com.br,
CECOM – Centro Comunitário Batista Cleriston Andrade,,,,Federação,Salvador ,BA,-12.993087,-38.507003,Grátis,Terapia ,,,niltonmarcelino.ssa@gmail.com,
CEFAC – Centro de Estudos de Família e Casal,R. Xavantes,295,,Rio Vermelho ,Salvador ,BA,-13.005919,-38.490302,Grátis,Clinico,(71)33343150,,,
SEST SENAT - UNIDADE A 01 SÃO PAULO (VILA JAGUARA),Avenida Cândido Portinari,633,,Vila Jaguara,São Paulo,SP,-23.508563,-46.752918,Grátis,Psicólogo,(11)36231-300,,,
SEST SENAT - UNIDADE A 02 SÃO PAULO,R. Tuiuti,9,,Parque Novo Mundo,São Paulo,SP,-23.522870,-46.574130,,,(11)22078-840,,,
SEST SENAT - UNIDADE A 03 CUIABÁ,Avenida Fernando Correa da Costa,5115,,Areão,Cuiabá,MT,-15.630207,-56.050765,,,(65)21231-900,,,
SEST SENAT - UNIDADE A 04 BRASÍLIA,QR,420,Conjunto 8 Lote 1,Samambaia Norte,Brasília,DF,-15.859557,-48.053991,,,(61)34589-200,,,
SEST SENAT - UNIDADE A 05 PORTO ALEGRE,Av. José Aloísio Filho,695,,Humaitá,Porto Alegre,RS,-29.982504,-51.184665,,,(51)33748-080,,,
SEST SENAT - UNIDADE A 07 RIO DE JANEIRO,Est. do Camboatá,135,,Deodoro,Rio de Janeiro,RJ,-22.850428,-43.382666,,,(21)35030-500,,,
SEST SENAT - UNIDADE A 11 SALVADOR,Av. Manoel Dias da Silva,1052,,Pituba,Salvador,BA,-13.009890,-38.465563,,,(71)32055-900,,,
SEST SENAT - UNIDADE A 12 CARIACICA,"Rodovia Governador José Sete s/n, Trevo, de",s/n,,Alto Lage,Cariacica,ES,-20.330349,-40.374664,,,(27)21233-450,,,
SEST SENAT - UNIDADE A 14 BELO HORIZONTE (SERRA VERDE),R. Guido Leão,383,,Serra Verde,Belo Horizonte,MG,-19.796438,-43.957388,,,(31)34081-529,,,
SEST SENAT - UNIDADE A 16 MANAUS,Av. Autaz Mirim,10118,,Jorge Teixeira,Manaus,AM,-3.029843,-59.935864,,,(92)21234-150,,,
SEST SENAT - UNIDADE A 18 RECIFE,Av. Beberibe,3620,,Porto da Madeira,Recife,PE,-7.998430,-34.888911,,,(81)21190-213,(81)21190-0200,,
SEST SENAT - UNIDADE A 21 CONTAGEM,R. Dorinato Lima,450,,Industrial,Contagem,MG,-19.963127,-44.033581,,,(31)33692-700,(31)33692-726,,
SEST SENAT - UNIDADE A 23 FORTALEZA,Rua Dona Leopoldina,1050,,Centro,Fortaleza,CE,-3.734400,-38.520679,,,(85)33044-111,,,
SEST SENAT - UNIDADE A 24 SIMÕES FILHO,Rodovia BR 324,Km 606,,Centro Industrial de Aratu,Simões Filho,BA,-12.813809,-38.402694,,,(71)36228-401,(71)36228-412,,
SEST SENAT - UNIDADE A 36 CAMPINAS,Av. Comendador Aladino Selmi,1395,,Dos Amarais,Campinas,SP,-22.850727,-47.120416,,,(19)37463-700,,,
SEST SENAT - UNIDADE A 42 SANTO ANDRÉ,R. Ver. José Nanci,300,,Tamanduateí,Santo André,SP,-23.652360,-46.512403,,,(11)49779-998,(11)49779-999,,
SEST SENAT - UNIDADE B 06 LONDRINA,R. Santa Teresinha,1377,,Interlagos,Londrina,PR,-23.314423,-51.141375,,,(43)33767-000,,,
SEST SENAT - UNIDADE B 13 CURITIBA,R. Salvador Ferrante,1440,,Boqueirão,Curitiba,PR,-25.496576,-49.238925,,,(41)30227-000,(41)30141-497,,
SEST SENAT - UNIDADE B 69 PONTA GROSSA,R. Alm. Tamandaré,901,,Ronda,Ponta Grossa,PR,-25.110422,-50.185792,,,(42)03225-2706,(42)3225-2706,,
SEST SENAT - UNIDADE B 86 FOZ DO IGUAÇU,R. Rufino Vilhordo,155,,Parque Pres. II,Foz do Iguaçu,PR,-25.508492,-54.557113,,,(45)35215-200,(45)35215-200,,
SEST SENAT - UNIDADE C 79 MARINGÁ,Estrada Pinguim,1324,,Distrito Industrial 2,Maringá,PR,-23.335663,-52.004677,,,(44)31237-100,,,
SEST SENAT - UNIDADE DN 127 UMUARAMA,Av. Ângelo Moreira da Fonseca,791,,Parque Danielle,Umuarama,PR,-23.771471,-53.323916,,,(44)36215-250,(45)98428-0940,,
SEST SENAT - UNIDADE B 32 CAMPO GRANDE,R. Raul Píres Barbosa,1784,,Chácara Cachoeira,Campo Grande,MS,-20.461393,-54.574705,,,(67)33488-700,,,
SEST SENAT - UNIDADE B 88 TRÊS LAGOAS,Av. Ponta Porã,2640,Ao Lado Associação Faculdade AEMS,Jardim Alvorada,Três Lagoas,MS,-20.788293,-51.669231,,,(67)02105-5300,,,
SEST SENAT - UNIDADE B 17 SANTA MARIA,R. Cidade de Treinta y Três,59,,Nossa Sra. de Lourdes,Santa Maria,RS,-29.703495,-53.800648,,,(55)32231-244,(55)99149-4958,,
SEST SENAT - UNIDADE B 20 BENTO GONÇALVES,R. Joana Guindani Tonello,1561,,Salgado,Bento Gonçalves,RS,-29.146705,-51.499105,,,(54)30550-400,,,
SEST SENAT - UNIDADE B 50 PELOTAS,Av. Engenheiro Ildefonso Simões Lopes,1206,,Três Vendas,Pelotas,RS,-31.725938,-52.303195,,,(53)32841-800,,,
SEST SENAT - UNIDADE B 58 CAXIAS DO SUL,R. Luís Francescuti,41,,Pioneiro,Caxias do Sul,RS,-28.911850,-51.154609,,,(54)32173-033,(54)32173-444,,
